PMID,Title,Abstract,Journal,Date,Types,DOI,PubMed_Link,PMC_Link
39461689,Biocompatible chitin-based Janus hydrogel membranes for periodontal repair.,"Periodontal defects caused by severe periodontitis are a widespread issue globally. Guided tissue regeneration (GTR) using barrier membranes for alveolar bone repair is a common clinical treatment. However, most commercially available collagen barrier membranes are expensive and lack the antibacterial properties essential for effective bone regeneration. Herein, we report a natural polysaccharide chitin hydrogel barrier membrane with a Janus structure (ChT-PDA-p-HAP), featuring high antibacterial and protein-repelling activity on the outer side and good osteogenesis ability on the inner side. This multifunctional membrane is fabricated though a three-step process: (i) dissolution and regeneration of chitin, (ii) co-deposition with polydopamine (PDA) and poly(sulfobetaine methacrylate) (pSBMA), and (iii) coating with gelatin-hydroxyapatite (gelatin-HAP). In vitro cell experiments demonstrated the membrane's high biocompatibility and significant osteogenic activity. In vivo implantation in rats with periodontal defects revealed that the cemento-enamel junction index of the ChT-PDA-p-HAP membrane (1.165 mm) was superior to that of the commercial Bio-Gide(R) membrane (1.350 mm). This work presents a method for fabricating a chitin-based Janus barrier membrane, potentially expanding the use of chitin in tissue engineering. STATEMENT OF SIGNIFICANCE: This study introduces a Janus hydrogel membrane based on chitin, tailored for guided tissue regeneration in periodontal defects. By combining antibacterial properties and osteogenic capabilities in a single membrane, the ChT-PDA-p-HAP membrane represents a significant advancement over traditional collagen barriers. Its outer surface, enhanced by Cu(2+) and PDA-pSBMA coatings, resists bacterial colonization and protein adhesion effectively, while the inner side, coated with gelatin-HAP, promotes robust bone formation. In vitro experiments demonstrate high biocompatibility and substantial osteogenic differentiation, while in vivo testing in rat models confirms good therapeutic efficacy compared to commercial membranes. This multifunctional approach not only utilizes chitin's abundant natural resource but also integrates simple coating techniques to enhance therapeutic outcomes in periodontal tissue engineering, offering promising avenues for broader biomedical applications.",Acta biomaterialia,2024 Dec,"Journal Article; Research Support, Non-U.S. Gov't",S1742-7061(24)00630-5,https://pubmed.ncbi.nlm.nih.gov/39461689/,
39260811,Hydrogen-releasing magnesium hydrogel mitigates post laminectomy epidural fibrosis through inhibition of neutrophil extracellular traps.,"Epidural fibrosis is a primary contributor to the failure of laminectomy surgeries, leading to the development of failed back surgery syndrome (FBSS). Post-laminectomy, neutrophils infiltrate the surgical site, generating neutrophil extracellular traps (NETs) that contribute to epidural fibrosis. Reactive oxygen species (ROS) play a pivotal role in mediating NETs formation. Molecular hydrogen, recognized for its selective antioxidant properties and biosafety, emerges as a potential therapeutic gas in suppressing epidural fibrosis. In this study, we developed an in-situ hydrogen release hydrogel that inhibits the formation of NETs and mitigates epidural scarring. Biodegradable magnesium (Mg) microspheres served as a hydrogen source, coated with PLGA to regulate hydrogen release. These microspheres (Mg@PLGA) were then incorporated into a PLGA-PEG-PLGA thermosensitive hydrogel (Mg@PLGA@Gel), providing a surgical implant for sustained, long-term hydrogen release. In vitro experiments confirmed the biocompatibility of the system, demonstrating that hydrogen produced by Mg@PLGA effectively neutralizes neutrophil intracellular ROS and inhibits NETs formation. Histological analyses, including H&E staining, MRI, Masson staining, and immunohistochemistry, collectively indicate that Mg@PLGA@Gel is biocompatible and effectively inhibits epidural fibrosis post-laminectomy. Furthermore, Mg@PLGA@Gel inhibits ROS accumulation and NETs formation at the surgical site. These findings suggest that Mg@PLGA@Gel ensures continuous, therapeutic hydrogen concentration, providing relief from epidural fibrosis in a laminectomy mouse model. STATEMENT OF SIGNIFICANCE.",Acta biomaterialia,2024 Oct 15,"Journal Article; Research Support, Non-U.S. Gov't",S1742-7061(24)00522-1,https://pubmed.ncbi.nlm.nih.gov/39260811/,
38719158,Fighting bacteria with bacteria: A biocompatible living hydrogel patch for combating bacterial infections and promoting wound healing.,"Bacterial infections are among the most critical global health challenges that seriously threaten the security of human. To address this issue, a biocompatible engineered living hydrogel patch was developed by co-embedding engineered photothermal bacteria (E(M)), photosensitizer (porphyrin) and reactive oxygen species amplifier (laccase) in a protein hydrogel. Remarkably, the genetice engineered bacteria can express melanin granules in vivo and this allows them to exhibit photothermal response upon being exposed to NIR-II laser (1064 nm) irradiation. Besides, electrostatically adhered tetramethylpyridinium porphyrin (TMPyP) on the bacterial surface and encapsulated laccase (Lac) in protein gel can generate highly toxic singlet oxygen ((1)O(2)) and hydroxyl radical (.OH) in the presence of visible light and lignin, respectively. Interestingly, the engineered bacteria hydrogel patch (E(M)TL@Gel) was successfully applied in synergistic photothermal, photodynamic and chemodynamic therapy, in which it was able to efficiently treat bacterial infection in mouse wounds and enhance wound healing. This work demonstrates the concept of ""fighting bacteria with bacteria"" combining bacterial engineering and material engineering into an engineered living hydrogel path that can synergistically boost the therapeutic outcome. STATEMENT OF SIGNIFICANCE: Genetically engineered bacteria produce melanin granules in vivo, exhibiting remarkable photothermal properties. These bacteria, along with a photosensitizer (TMPyP) and a reactive oxygen species amplifier (laccase), are incorporated into a biocompatible protein hydrogel patch. Under visible light, the patch generates toxic singlet oxygen ((1)O(2)) and hydroxyl radical (.OH), demonstrates outstanding synergistic effects in photothermal, photodynamic, and chemodynamic therapy, effectively treating bacterial infections and promoting wound healing in mice.",Acta biomaterialia,2024 Jun,"Journal Article; Research Support, Non-U.S. Gov't",S1742-7061(24)00230-7,https://pubmed.ncbi.nlm.nih.gov/38719158/,
38447811,Telodendrimer functionalized hydrogel platform for sustained antibiotics release in infection control.,"Wound infection commonly causes delayed healing, especially in the setting of chronic wounds. Local release of antibiotics is considered a viable approach to treat chronic wounds. We have developed a versatile telodendrimer (TD) platform for efficient loading of charged antibiotic molecules via a combination of multivalent and synergistic charge and hydrophobic interactions. The conjugation of TD in biocompatible hydrogel allows for topical application to provide sustained antibiotic release. Notably, a drug loading capacity as high as 20 % of the drug-to-resin dry weight ratio can be achieved. The payload content (PC) and release profile of the various antibiotics can be optimized by fine-tuning TD density and valency in hydrogel based on the charge and hydrophobic features of the drug, e.g., polymyxin B (PMB), gentamycin (GM), and daptomycin (Dap), for effective infection control. We have shown that hydrogel with moderately reduced TD density demonstrates a more favorable release profile than hydrogel with higher TD density. Antibiotics loaded in TD hydrogel have comparable antimicrobial potency and reduced cytotoxicity compared to the free antibiotics due to a prolonged, controlled drug release profile. In a mouse model of skin and soft tissue infection, the subcutaneous administration of PMB-loaded TD hydrogel effectively eliminated the bacterial burden. Overall, these results suggest that engineerable TD hydrogels have great potential as a topical treatment to control infection for wound healing. STATEMENT OF SIGNIFICANCE: Wound infection causes a significant delay in the wound healing process, which results in a significant financial and resource burden to the healthcare system. PEGA-telodendrimer (TD) resin hydrogel is an innovative and versatile platform that can be fine-tuned to efficiently encapsulate different antibiotics by altering charged and hydrophobic structural moieties. Additionally, this platform is advantageous as the TD density in the resin can also be fine-tuned to provide the desired antibiotic payload release profile. Sustained antibiotics release through optimization of TD density provides a prolonged therapeutic window and reduces burst release-induced cytotoxicity compared to conventional antibiotics application. Studies in a preclinical mouse model of bacteria-induced skin and soft tissue infection demonstrated promising therapeutic efficacy as evidenced by effective infection control and prolonged antibacterial efficacy of antibiotics-loaded PEGA-TD resin. In conclusion, the PEGA-TD resin platform provides a highly customizable approach for effective antibiotics release with significant potential for topical application to treat various bacterial wound infections to promote wound healing.",Acta biomaterialia,2024 Apr 1,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",S1742-7061(24)00115-6,https://pubmed.ncbi.nlm.nih.gov/38447811/,
36640949,Electrically responsive release of proteins from conducting polymer hydrogels.,"Electrically modulated delivery of proteins provides an avenue to target local tissues specifically and tune the dose to the application. This approach prolongs and enhances activity at the target site whilst reducing off-target effects associated with systemic drug delivery. The work presented here explores an electrically active composite material comprising of a biocompatible hydrogel, gelatin methacryloyl (GelMA) and a conducting polymer, poly(3,4-ethylenedioxythiophene), generating a conducting polymer hydrogel. In this paper, the key characteristics of electroactivity, mechanical properties, and morphology are characterized using electrochemistry techniques, atomic force, and scanning electron microscopy. Cytocompatibility is established through exposure of human cells to the materials. By applying different electrical-stimuli, the short-term release profiles of a model protein can be controlled over 4 h, demonstrating tunable delivery patterns. This is followed by extended-release studies over 21 days which reveal a bimodal delivery mechanism influenced by both GelMA degradation and electrical stimulation events. This data demonstrates an electroactive and cytocompatible material suitable for the delivery of protein payloads over 3 weeks. This material is well suited for use as a treatment delivery platform in tissue engineering applications where targeted and spatio-temporal controlled delivery of therapeutic proteins is required. STATEMENT OF SIGNIFICANCE: Growth factor use in tissue engineering typically requires sustained and tunable delivery to generate optimal outcomes. While conducting polymer hydrogels (CPH) have been explored for the electrically responsive release of small bioactives, we report on a CPH capable of releasing a protein payload in response to electrical stimulus. The composite material combines the benefits of soft hydrogels acting as a drug reservoir and redox-active properties from the conducting polymer enabling electrical responsiveness. The CPH is able to sustain protein delivery over 3 weeks, with electrical stimulus used to modulate release. The described material is well suited as a treatment delivery platform to deliver large quantities of proteins in applications where spatio-temporal delivery patterns are paramount.",Acta biomaterialia,2023 Mar 1,"Journal Article; Research Support, Non-U.S. Gov't",S1742-7061(23)00014-4,https://pubmed.ncbi.nlm.nih.gov/36640949/,
36596433,Injectable spontaneous hydrogen-releasing hydrogel for long-lasting alleviation of osteoarthritis.,"Excessive production of reactive oxygen species (ROS) amplifies pro-inflammatory pathways and exacerbates immune responses, and is a key factor in the progression of osteoarthritis (OA). Therapeutic hydrogen gas (H(2)) with antioxidative and anti-inflammatory effects, has a potential for OA alleviation, but the targeted delivery and sustained release of H(2) are still challenging. Herein, we develop an injectable calcium boride nanosheets (CBN) loaded hydrogel platform (CBN@GelDA hydrogel) as a high-payload and sustainable H(2) precursor for OA treatment. The CBN@GelDA hydrogel could maintain constant physiological pH conditions which further promotes more H(2) release than the CBN alone and lasts more than one week. The biocompatibility of this hydrogel with macrophages and chondrocytes is effectively enhanced. The experiments show that the CBN@GelDA hydrogel holds the ROS scavenging ability, reducing the expression of related inflammatory cytokines, lessening M1 macrophages but stimulating M2 phenotype, and thereby decreasing chondrocyte apoptosis, which facilitates to breaking of the vicious circle of OA progression. Furthermore, a single-time injection of the CBN@GelDA hydrogel markedly reduces joint destruction in OA rats. From what has been discussed above, this injectable spontaneous H(2)-releasing hydrogel is promising for OA treatment. STATEMENT OF SIGNIFICANCE: Oxidative stress and inflammation play the key role in the occurrence and development of osteoarthritis (OA). The system of a hydrogel loaded with H(2) precursor calcium boride nanosheet (CBN), which is the first to use as an H(2) precursor, integrates superior injectable and biocompatible of hydrogel and the selection of antioxidant properties of H(2). This system can improve H(2) release behavior and achieve a single injection into the articular cavity to alleviate the progression of OA in rats. This study of the combination of a convenient long-acting injectable hydrogel and a safe therapeutic gas is of great value for improving the quality of life of clinical patients.",Acta biomaterialia,2023 Mar 1,"Journal Article; Research Support, Non-U.S. Gov't",S1742-7061(22)00868-6,https://pubmed.ncbi.nlm.nih.gov/36596433/,
36584800,Construction of adhesive and bioactive silk fibroin hydrogel for treatment of spinal cord injury.,"Spinal cord injury (SCI) often causes severe and permanent disabilities due to the complexity of injury progression. The promising methods are generally based on tissue engineering technology using biocompatible hydrogels to achieve SCI repair. However, hydrogels are commonly incapable of close contact with the damaged spinal cord stumps and fail to support neural regeneration in SCI. Therefore, it is still a challenge to achieve stable contact with the transected nerve stumps and accelerate neural regeneration in the lesion microenvironment. Here, an in situ forming glycidyl methacrylated silk fibroin/ laminin-acrylate (SF-GMA/LM-AC) hydrogel was fabricated for SCI repair. The polymer chains formed a network quickly after ultraviolet (UV)-light trigger, in topological entanglement with the spinal cord, stitching the hydrogel and wet tissues together like a suture at the molecular scale. The SF-GMA/LM-AC hydrogel also provided a favorable environment for the growth of cells due to the incorporation of LM-AC. Compared with physical entrapment of LM, LM-AC immobilized in the hydrogel by covalent technology provided better microenvironments for neural stem cells (NSCs) growth. The repair of complete transection SCI in rats demonstrated that this hydrogel guided and promoted neural regeneration over 8 weeks, leading to hind limb locomotion recovery. This adhesive and bioactive SF-GMA/LM-AC hydrogel may open many opportunities in various therapeutic indications, including SCI. STATEMENT OF SIGNIFICANCE: Many materials have been developed for building transplanted scaffolds, but it is still a challenge to fabricate bioactive scaffolds and adhesion to wet tissues. In this study, we successfully developed an in situ forming SF-GMA/LM-AC hydrogel for SCI repair. This in situ forming hydrogel formed significant adhesion to the native spinal cord, stitching hydrogel and tissue together like a suture at the molecular scale. In addition, covalent immobilized LM-AC was used as the contact guidance biochemical cues for axonal outgrowth and had much better bioactive effects than physically entangled LM. Moreover, this universal strategy would open an avenue to fabricate adhesive and bioactive hydrogel for various disease treatments including SCI.",Acta biomaterialia,2023 Mar 1,"Journal Article; Research Support, Non-U.S. Gov't",S1742-7061(22)00858-3,https://pubmed.ncbi.nlm.nih.gov/36584800/,
36526241,Design and characterization of matrix metalloproteinase-responsive hydrogels for the treatment of inflammatory skin diseases.,"Enzyme-responsive hydrogels, formed by step growth photopolymerization of biscysteine peptide linkers with alkene functionalized polyethylene glycol, provide interesting opportunities as biomaterials and drug delivery systems. In this study, we developed stimuli-responsive, specific, and cytocompatible hydrogels for delivery of anti-inflammatory drugs for the treatment of inflammatory skin diseases. We designed peptide linkers with optimized sensitivity towards matrix metalloproteinases, a family of proteolytic enzymes overexpressed in the extracellular matrix of the skin during inflammation. The peptide linkers were crosslinked with branched 4-arm and 8-arm polyethylene glycols by thiol-norbornene photopolymerization, leading to the formation of a hydrogel network, in which the anti-inflammatory Janus kinase inhibitor tofacitinib citrate was incorporated. The hydrogels were extensively characterized by physical properties, in vitro release studies, cytocompatibility with fibroblasts, and anti-inflammatory efficacy testing in both an atopic dermatitis-like keratinocyte assay and an activated T-cell assay. The drug release was studied after single and multiple-time exposure to matrix metalloproteinase 9 to mimic inflammatory flare-ups. Drug release was found to be triggered by matrix metalloproteinase 9 and to depend on type of crosslinker and of the polyethylene glycol polymer, due to differences in architecture and swelling behavior. Moreover, swollen hydrogels showed elastic properties similar to those of extracellular matrix proteins in the dermis. Cell studies revealed limited cytotoxicity when fibroblasts and keratinocytes were exposed to the hydrogels or their enzymatic cleavage products. Taken together, our results suggest multi-arm polyethylene glycol hydrogels as promising matrix metalloproteinase-responsive drug delivery systems, with potential in the treatment of inflammatory skin disease. STATEMENT OF SIGNIFICANCE: Smart responsive drug delivery systems such as matrix metalloproteinase-responsive hydrogels are excellent candidates for the treatment of inflammatory skin diseases including psoriasis. Their release profile can be optimized to correspond to the patient's individual disease state by tuning formulation parameters and disease-related stimuli, providing personalized treatment solutions. However, insufficient cross-linking efficiency, low matrix metalloproteinase sensitivity, and undesirable drug release kinetics remain major challenges in the development of such drug delivery systems. In this study, we address shortcomings of previous work by designing peptide linkers with optimized sensitivity towards matrix metalloproteinases and high cross-linking efficiencies. We further provide a proof-of-concept for the usability of the hydrogels in inflammatory skin conditions by employing a drug release set-up simulating inflammatory flare-ups.",Acta biomaterialia,2023 Feb,"Journal Article; Research Support, Non-U.S. Gov't",S1742-7061(22)00818-2,https://pubmed.ncbi.nlm.nih.gov/36526241/,
36435442,Semaphorin 3A delivered by a rapidly polymerizing click hydrogel overcomes impaired implant osseointegration in a rat type 2 diabetes model.,"Semaphorin 3A (sema3A) is an osteoprotective factor that enhances bone formation while inhibiting osteoclast bone resorption. It is produced by rat calvarial osteoblasts cultured on grit-blasted/acid-etched microtextured (SLA) titanium surfaces at higher levels than on tissue culture polystyrene, suggesting that it may improve performance of titanium implants in vivo, particularly in conditions characterized by compromised bone quality. To test this, we established a clinically relevant type 2 diabetes mellitus (T2DM) rat model and used a non-toxic click hydrogel that rapidly polymerizes in situ (GEL) to provide localized controlled delivery of sema3A. In vitro studies confirmed that sema3A released from GEL was biologically active, increasing osteoblast differentiation of a pre-osteoblast cell-line. Whereas increased sema3A production was not observed in T2DM calvarial osteoblasts cultured on SLA, exogenous sema3A enhanced surface-induced osteoblast differentiation, indicating that it would be a viable candidate for in vivo use. Delivery of sema3A either by GEL or by local injection to bone defects enhanced osseointegration of SLA implants in the T2DM rats. Trabecular bone mass and bone-to-implant contact were decreased in T2DM rats compared to normal rats; sema3A delivered locally improved both parameters. These findings suggest that reduced trabecular bone contributes to poor osseointegration in T2DM patients and support GEL as a promising treatment option for sustained release of therapeutic doses of sema3A. Moreover, using this clinically translatable T2DM model and developing a biocompatible, Cu-free click chemistry hydrogel platform for the non-invasive delivery of therapeutics has major implications for regenerative medicine as a whole. STATEMENT OF SIGNIFICANCE: Osseointegration is compromised in patients with poor bone quality due to conditions like type 2 diabetes mellitus (T2DM). Previously, we showed that semaphorin 3A (sema3A) production is increased when human bone marrow stromal cells are cultured on titanium substrates that support osseointegration in vivo, suggesting it may enhance peri-implant osteogenesis in diabetes. Here we established a spontaneously developing T2DM rat model with clinical translatability and used it to assess sema3A effectiveness. Sema3A was delivered to the implant site via a novel copper-free click hydrogel, which has minimal swelling behavior and superior rheological properties. Osseointegration was successfully restored, and enhanced compared to burst release through injections. This study provides scientific evidence for using sema3A to treat impaired osseointegration in T2DM patients.",Acta biomaterialia,2023 Feb,Journal Article,S1742-7061(22)00757-7,https://pubmed.ncbi.nlm.nih.gov/36435442/,
36152907,"A self-healing, magnetic and injectable biopolymer hydrogel generated by dual cross-linking for drug delivery and bone repair.","Injectable hydrogels based on various functional biocompatible materials have made rapid progress in the field of bone repair. In this study, a self-healing and injectable polysaccharide-based hydrogel was prepared for bone tissue engineering. The hydrogel was made of carboxymethyl chitosan (CMCS) and calcium pre-cross-linked oxidized gellan gum (OGG) cross-linked by the Schiff-base reaction. Meanwhile, magnetic hydroxyapatite/gelatin microspheres (MHGMs) were prepared by the emulsion cross-linking method. The antibacterial drugs, tetracycline hydrochloride (TH) and silver sulfadiazine (AgSD), were embedded into the MHGMs. To improve the mechanical and biological properties of the hydrogels, composite hydrogels were prepared by compounding hydroxyapatite (HAp) and drug-embedded MHGMs. The physical, chemical, mechanical and rheological properties of the composite hydrogels were characterized, as well as in vitro antibacterial tests and biocompatibility assays, respectively. Our results showed that the composite hydrogel with 6% (w/v) HAp and 10 mg/mL MHGMs exhibited good magnetic responsiveness, self-healing and injectability. Compared with the pure hydrogel, the composite hydrogel showed a 38.8% reduction in gelation time (196 to 120 s), a 65.6% decrease in swelling rate (39.4 to 13.6), a 51.9% increase in mass residual after degradation (79.5 to 120.8%), and a 143.7% increase in maximum compressive stress (53.6 to 130.6 KPa). In addition, this composite hydrogel showed good drug retardation properties and antibacterial effects against both S. aureus and E. coli. CCK-8 assay showed that composite hydrogel maintained high cell viability (> 87%) and rapid cell proliferation after 3 days, indicating that this smart hydrogel is expected to be an alternative scaffold for drug delivery and bone regeneration. STATEMENT OF SIGNIFICANCE: Biopolymer hydrogels have been considered as the promising materials for the treatment of tissue engineering and drug delivery. Injectable hydrogels with and self-healing properties and responsiveness to external stimuli have been extensively investigated as cell scaffolds and bone defects, due to their diversity and prolonged lifetime. Magnetism has also been involved in biomedical applications and played significant roles in targeted drug delivery and anti-cancer therapy. We speculate that development of dual cross-linked hydrogels basing biopolymers with multi-functionalities, such as injectable, self-healing, magnetic and anti-bacterial properties, would greatly broaden the application for bone tissue regeneration and drug delivery.",Acta biomaterialia,2022 Nov,"Journal Article; Research Support, Non-U.S. Gov't",S1742-7061(22)00598-0,https://pubmed.ncbi.nlm.nih.gov/36152907/,
