PMID,Title,Abstract,Journal,Date,Types,DOI,PubMed_Link,PMC_Link
39713898,Structured Polymers Enable the Sustained Delivery of Glucocorticoids within the Intra-Articular Space.,"Intra-articular glucocorticoid injections are effective in controlling inflammation and pain in arthritides but restricted by short duration of action and risk of joint degeneration. Controlled drug release using biocompatible hydrogels offers a unique solution, but limitations of in situ gelation restrict their application. Gellan sheared hydrogels (GSHs) retain the advantages of hydrogels, however their unique microstructures lend themselves to intra-articular application - capable of shear thinning under force but restructuring at rest to enhance residence. This study examined GSHs for extended intra-articular glucocorticoid delivery of prednisolone (10 mg mL(-1)); demonstrating links between material mechanics, steroid release, and preclinical assessment of efficacy in synoviocyte culture and transgenic(TNF)197Gkl (TNFtg) murine model of arthritis. GSHs demonstrated sustained release, with typical Fickian profiles over 18 days. Moreover, systems showed good stability under extended culture, with inherent cell-compatibility and suppression of inflammatory synoviocyte activation. In TNFtg animals, GSHs suppressed synovitis (70.08%, p < 0.05), pannus formation (45.01%, p < 0.05), and increased articular cartilage (82.23%, p < 0.05) relative to vehicle controls. The extended profile of steroid release from injectable GSH formulations holds promise in the treatment and management of inflammatory arthritides such as rheumatoid and osteoarthritis, representing a step-change in intra-articular drug delivery to suppress long-term joint inflammation.",Advanced healthcare materials,2025 Feb,Journal Article,10.1002/adhm.202403000,https://pubmed.ncbi.nlm.nih.gov/39713898/,
39558805,In Situ Sprayed Hydrogel Delivers Extracellular Vesicles Derived from Human Endometrial Organoids for Uterine Function Preservation and Fertility Restoration.,"Impaired endometrial function and reduced receptivity remain significant causes of female infertility. Here, a sprayable hydrogel combined with human endometrial organoid extracellular vesicles (HEO-EVs) is developed to enhance uterine function preservation and fertility restoration. The peptide amphiphile hydrogel (labeled CPA) is engineered by conjugating a collagen-binding peptide with glutathione to impart its biocompatible adhesive and antioxidant properties. The therapeutic EVs are isolated and purified from human endometrial organoids that have been stably passaged long-term using a bioreactor-culture system. The resulting HEO-EVs-loaded CPA (CPA@HEO-EVs) rapid gelation, triggered by salt-ion interactions, occurs when the fluid is sprayed onto the uterine lining. The ex vivo studies demonstrate that CPA@HEO-EVs promote cell proliferation, scavenges free radicals, and increases tube formation in human umbilical vein endothelial cells. In vivo experiments further validate that in situ spraying with the CPA@HEO-EVs can promote neovascularization, prevent localized endometrial fibrosis, and effectively enhance fertility in a mouse model of endometrial injury. These findings highlight the promising clinical application of in situ sprayed CPA@HEO-EVs hydrogel for targeted endometrial therapy.",Advanced healthcare materials,2025 Jan,Journal Article,10.1002/adhm.202403604,https://pubmed.ncbi.nlm.nih.gov/39558805/,
39520382,Minimally Invasive Syringe-Injectable Hydrogel with Angiogenic Factors for Ischemic Stroke Treatment.,"Ischemic stroke (IS) accounts for most stroke incidents and causes intractable damage to brain tissue. This condition manifests as diverse aftereffects, such as motor impairment, emotional disturbances, and dementia. However, a fundamental approach to curing IS remains unclear. This study proposes a novel approach for treating IS by employing minimally invasive and injectable jammed gelatin-norbornene nanofibrous hydrogels (GNF) infused with growth factors (GFs). The developed GNF/GF hydrogels are administered to the motor cortex of a rat IS model to evaluate their therapeutic effects on IS-induced motor dysfunction. GNFs mimic a natural fibrous extracellular matrix architecture and can be precisely injected into a targeted brain area. The syringe-injectable jammed nanofibrous hydrogel system increased angiogenesis, inflammation, and sensorimotor function in the IS-affected brain. For clinical applications, the biocompatible GNF hydrogel has the potential to efficiently load disease-specific drugs, enabling targeted therapy for treating a wide range of neurological diseases.",Advanced healthcare materials,2025 Mar,Journal Article,10.1002/adhm.202403119,https://pubmed.ncbi.nlm.nih.gov/39520382/,
39148284,Self-Assembled Peptide Hydrogels Loaded with Umbilical Cord-Derived Mesenchymal Stem Cells Repairing Injured Endometrium and Restoring Fertility.,"Endometrial injury is a major cause of infertility and recurrent miscarriage. However, no clinically available methods currently exist to effectively repair the damaged endometrium. Mesenchymal stem cells (MSCs) have emerged as a promising therapeutic approach for promoting tissue regeneration, yet a biocompatible scaffold capable of delivering MSCs and supporting their growth is needed. Herein, the study reports a peptide hydrogel scaffold, self-assembled from a peptide IVK8-RGD consisting of an ionic complementary peptide sequence IEVEIRVK and a bioactive sequence RGD, to load umbilical cord-derived mesenchymal stem cells (UC-MSCs). This peptide forms a hydrogel under the physiological condition through self-assembly, and the peptide hydrogel exhibits injectability and adhesiveness to uterus, making it suitable for endometrial repair. Importantly, this hydrogel supports the adhesion and proliferation of UC-MSCs in a 3D environment. In vivo experiments using rats with endometrial injury have shown that treatment with IVK8-RGD hydrogel loaded with UC-MSCs effectively restores endometrial thickness, inhibits fibrosis, and facilitates angiogenesis through activating Raf/MEK/ERK pathway, leading to significantly improved fertility and live birth rate. These findings demonstrate the potential of the UC-MSCs-loaded hydrogel in repairing damaged endometrium and may address the unmet clinical needs of treating recurrent miscarriage and infertility induced by endometrial damage.",Advanced healthcare materials,2024 Dec,Journal Article,10.1002/adhm.202400524,https://pubmed.ncbi.nlm.nih.gov/39148284/,
39138998,Essential Oil Components Incorporated Emulsion Hydrogels for Eradicating Dermatophytosis Caused by Pathogenic Fungi Trichophyton mentagrophytes and Microsporum canis.,"Dermatophytosis is a prevalent fungal infection and public health burden, majorly caused by the attack of zoophilic fungi genera of Trichophyton and Microsporum. Among them, T. mentagrophytes and M. canis are the dominating pathogens that cause dermatophytosis in humans. Though anti-fungal treatments are available, the widespread drug resistance and minimal efficacy of conventional therapies cause recurring infections. In addition, prolonged anti-fungal medications induce several systemic side effects, including hepatotoxicity and leucopenia. The anti-dermatophytic formulation of biocompatible essential oil components (EOCs) is attractive due to their highly potent anti-dermatophytic action. Herein, two EOCs, Eugenol (EU) and Isoeugenol (IU), incorporated emulsion hydrogel (EOCs-EHG) synthesized from hydroxypropylmethyl cellulose and poly(ethylene glycol) methyl ether methacrylate. The cytocompatibility of the hydrogels is confirmed by treating them with fibroblast and keratinocyte cell lines. The EOCs-EHG demonstrated pH and temperature-responsive sustained release of entrapped EOCs and inhibited fungal spore germination. T. mentagrophytes and M. canis biofilms are eradicated at a minimal inhibitory concentration of 2 microg mL(-1) each of EU and IU. The in vivo anti-dermatophytic activity of EOCs-EHG is confirmed in dermatophyte-infected Wistar albino rat models. The topical application of EOCs-EHG demonstrated complete infection eradication and facilitated skin regeneration, emphasizing the therapeutic potential of EOCs-EHG against dermatophytosis.",Advanced healthcare materials,2024 Nov,Journal Article,10.1002/adhm.202400811,https://pubmed.ncbi.nlm.nih.gov/39138998/,
38663034,Inflammation-Responsive Hydrogel Accelerates Diabetic Wound Healing through Immunoregulation and Enhanced Angiogenesis.,"Angiogenesis is a prominent component during the highly regulated process of wound healing. The application of exogenous vascular endothelial growth factor (VEGF) has shown considerable potential in facilitating angiogenesis. However, its effectiveness is often curtailed due to chronic inflammation and severe oxidative stress in diabetic wounds. Herein, an inflammation-responsive hydrogel incorporating Prussian blue nanoparticles (PBNPs) is designed to augment the angiogenic efficacy of VEGF. Specifically, the rapid release of PBNPs from the hydrogel under inflammatory conditions effectively alleviates the oxidative stress of the wound, therefore reprogramming the immune microenvironment to preserve the bioactivity of VEGF for enhanced angiogenesis. In vitro and in vivo studies reveal that the PBNPs and VEGF co-loaded hydrogel is biocompatible and possesses effective anti-inflammatory properties, thereby facilitating angiogenesis to accelerate the wound healing process in a type 2 diabetic mouse model.",Advanced healthcare materials,2025 Feb,Journal Article,10.1002/adhm.202400150,https://pubmed.ncbi.nlm.nih.gov/38663034/,
38488218,Versatile Mechanically Tunable Hydrogels for Therapeutic Delivery Applications.,"Hydrogels provide a versatile platform for biomedical material fabrication that can be structurally and mechanically fine-tuned to various tissues and applications. Applications of hydrogels in biomedicine range from highly dynamic injectable hydrogels that can flow through syringe needles and maintain or recover their structure after extrusion to solid-like wound-healing patches that need to be stretchable while providing a selective physical barrier. In this study, a toolbox is designed using thermo-responsive poly(N-isopropylacrylamide) (PNIPAM) polymeric matrices and nanocelluloses as reinforcing agent to obtain biocompatible hydrogels with altering mechanical properties, from a liquid injectable to a solid-like elastic hydrogel. The liquid hydrogels possess low viscosity and shear-thinning properties at 25  degrees C, which allows facile injection at room temperature, while they become viscoelastic gels at body temperature. In contrast, the covalently cross-linked solid-like hydrogels exhibit enhanced viscoelasticity. The liquid hydrogels are biocompatible and are able to delay the in vitro release and maintain the bioactivity of model drugs. The antimicrobial agent loaded solid-like hydrogels are effective against typical wound-associated pathogens. This work presents a simple method of tuning hydrogel mechanical strength to easily adapt to applications in different soft tissues and broaden the potential of renewable bio-nanoparticles in hybrid biomaterials with controlled drug release capabilities.",Advanced healthcare materials,2024 Jul,Journal Article,10.1002/adhm.202304287,https://pubmed.ncbi.nlm.nih.gov/38488218/,
37903562,An Electroconductive and Antibacterial Adhesive Nanocomposite Hydrogel for High-Performance Skin Wound Healing.,"Multifunctional hydrogel adhesives inhibiting infections and enabling the electrical stimulation (ES) of tissue reparation are highly desirable for the healing of surgical wounds and other skin injuries. Herein, a therapeutic nanocomposite hydrogel is designed by integrating beta-cyclodextrin-embedded Ag nanoparticles ((CD)AgNPs) in a polyvinyl alcohol (PVA) matrix enhanced with free beta-cyclodextrin (CD) and an atypical macromolecule made of beta-glucan grafted with hyaluronic acid (HAG). The main objective is to develop a biocompatible dressing combining the electroconductivity and antibacterial activity of (CD)AgNPs with the cohesiveness and porosity of PVA and the anti-inflammatory, moisturizing, and cell proliferation-promoting properties of HAG. The last component, CD, is added to strengthen the network structure of the hydrogel. PVA/CD/HAG/(CD)AgNP exhibited excellent adhesion strength, biocompatibility, electroconductivity, and antimicrobial activity against a wide range of bacteria. In addition, the nanocomposite hydrogel has a swelling ratio and water retention capacity suitable to serve as a wound dressing. PVA/CD/HAG/(CD)AgNP promoted the proliferation of fibroblast in vitro, accelerated the healing of skin wounds in an animal model, and is hemostatic. Upon ES, the PVA/CD/HAG/(CD)AgNP nanocomposite hydrogel became more efficient both in vitro and in vivo further speeding up the skin healing process thus demonstrating its potential as a next-generation electroconductive wound dressing.",Advanced healthcare materials,2024 Mar,"Journal Article; Research Support, Non-U.S. Gov't",10.1002/adhm.202303138,https://pubmed.ncbi.nlm.nih.gov/37903562/,
37861278,An Ultraswelling Microneedle Device for Facile and Efficient Drug Loading and Transdermal Delivery.,"The advancement and extensive demand for transdermal therapies can benefit from a safe, and efficient and user-friendly transdermal technology with broad applicability in delivering various hydrophilic drugs. Here the design and proof of concept applications of an ultraswelling microneedle device that enables the facile and efficient loading and transdermal delivery of hydrophilic drugs with different molecular weights is reported. The device consists of a super-hydrophilic hydrogel microneedle array and a resin base substrate. Using a special micromolding technique that involves hydrated crosslinking and cryogenic-demolding, the microneedle part displays a rapid swelling ratio of  approximately 3800%, enabling the loading of drugs up to 500 kDa in molecular weight. The drug loading process using the device just involves incubating the microneedle part in a drug solution for 1 min, followed by 15 min of drying. The microneedles can easily penetrate the skin under press and detach from the base substrate under shear, thereby releasing the payload. Administration of desired therapeutic agents using the device outperformed conventional administration methods in mitigating psoriasis and eliciting immunity. This biocompatible device, capable of withstanding ethylene oxide sterilization, can enhance the efficacy and accessibility of transdermal therapies in research institutes, hospitals, and even home settings.",Advanced healthcare materials,2024 Jan,"Journal Article; Research Support, Non-U.S. Gov't",10.1002/adhm.202302406,https://pubmed.ncbi.nlm.nih.gov/37861278/,
37610041,"A Biodegradable, Adhesive, and Stretchable Hydrogel and Potential Applications for Allergic Rhinitis and Epistaxis.","Bioadhesive hydrogels have attracted considerable attention as innovative materials in medical interventions and human-machine interface engineering. Despite significant advances in their application, it remains critical to develop adhesive hydrogels that meet the requirements for biocompatibility, biodegradability, long-term strong adhesion, and efficient drug delivery vehicles in moist conditions. A biocompatible, biodegradable, soft, and stretchable hydrogel made from a combination of a biopolymer (unmodified natural gelatin) and stretchable biodegradable poly(ethylene glycol) diacrylate is proposed to achieve durable and tough adhesion and explore its use for convenient and effective intranasal hemostasis and drug administration. Desirable hemostasis efficacy and enhanced therapeutic outcomes for allergic rhinitis are accomplished. Biodegradation enables the spontaneous removal of materials without causing secondary damage and minimizes medical waste. Preliminary trials on human subjects provide an essential foundation for practical applications. This work elucidates material strategies for biodegradable adhesive hydrogels, which are critical to achieving robust material interfaces and advanced drug delivery platforms for novel clinical treatments.",Advanced healthcare materials,2023 Nov,"Journal Article; Research Support, Non-U.S. Gov't",10.1002/adhm.202302059,https://pubmed.ncbi.nlm.nih.gov/37610041/,
