PMID,Title,Abstract,Journal,Date,Types,DOI,PubMed_Link,PMC_Link
39489016,Ru single-atom nanozymes targeting ROS-ferroptosis pathways for enhanced endometrial regeneration in intrauterine adhesion therapy.,"Intrauterine adhesion (IUA) presents a significant challenge in gynecology, characterized by excessive fibrosis and compromised reproductive function, leading to severe infertility. Although biocompatible hydrogels integrated with stem cells offer a promising approach for IUA therapy, clinical applications remain limited. Recent studies have highlighted the role of ferroptosis and reactive oxygen species (ROS) in IUA pathogenesis, yet strategies targeting ferroptosis through antioxidant stress are underexplored. This study investigates the therapeutic effects and mechanisms of a Ru-Single-Atom Nanozyme (Ru-SAN) incorporated into chitosan hydrogel for treating IUA. Ru-SAN, which mimics the enzyme activities of catalase, superoxide dismutase, and glutathione peroxidase, effectively clears excess ROS and shows promise in treating oxidative stress-induced diseases. The results demonstrate the superior antioxidative capabilities of Ru-SAN, significantly suppressing the ROS-ferroptosis cycle at the injury site. This creates a favorable microenvironment for post-injury repair by inhibiting inflammation, enhancing mesenchymal-to-epithelial transformation, promoting angiogenesis, and polarizing M2 macrophages. Importantly, it mitigates adverse repair outcomes from inflammation and excessive collagen fiber deposition, ultimately restoring uterine glandular structures and thickness, thereby achieving the ultimate goal of restoring fertility and live birth rates. In conclusion, our study delineates a pioneering therapeutic approach leveraging the antioxidant properties of Ru-SAN to target ferroptosis, thereby offering an efficacious treatment for IUA.",Biomaterials,2025 Apr,Journal Article,S0142-9612(24)00457-5,https://pubmed.ncbi.nlm.nih.gov/39489016/,
39461063,3D printing incorporating gold nanozymes with mesenchymal stem cell-derived hepatic spheroids for acute liver failure treatment.,"Acute liver failure (ALF) is a highly fatal disease, necessitating the advancement and optimization of alternative therapeutic strategies to benefit patients awaiting liver transplantation. In this study, we innovatively established the antioxidant nanozyme-hepatocyte-like cells (HLCs) microtissue sheets (HS/N-Au@composite) for ALF therapy. We first prepared a 3D-printed hyaluronic acid/gelatin/sodium alginate scaffold with N-acetylcysteine (NAC)-capped gold nanoclusters (NAC-Au NCs), forming the N-Au@hydrogel. For the encapsulation of HLC spheroids, we used a biocompatible hybrid hydrogel composed of decellularized extracellular matrix (dECM), thrombin, and fibrinogen, resulting in the HS@dECM hydrogel. Utilizing 3D printing technology, we integrated the N-Au@hydrogel with the HS@dECM hydrogel to create the HS/N-Au@composite for in situ transplantation to treat ALF. Our results demonstrated that NAC-Au NCs effectively mitigated reactive oxygen species (ROS)-induced liver necrosis in ALF. Additionally, the N-Au@hydrogel provided mechanical support, ensuring the proper landing and effective functioning of the transplanted HLC spheroids. The HS/N-Au@composite synergistically decreased serum transaminase levels, reduced the accumulation of pro-inflammatory cytokines, accelerated liver function recovery, and promoted liver regeneration in ALF treatment. This combination of HLC spheroids and NAC-Au NCs nanozymes via 3D-printed composite scaffolds represents a promising strategy for enhancing hepatocyte transplantation and advancing stem cell regenerative medicine in ALF therapy.",Biomaterials,2025 Apr,Journal Article,S0142-9612(24)00429-0,https://pubmed.ncbi.nlm.nih.gov/39461063/,
37276796,Structurally dynamic self-healable hydrogel cooperatively inhibits intestinal inflammation and promotes mucosal repair for enhanced ulcerative colitis treatment.,"Hydrogels are a class of biocompatible materials with versatile functions that have been increasing explored for the localized treatment of ulcerative colitis (UC), but various mechanical stimuli may cause premature hydrogel breakage and detachment, impeding their further clinical translation. Here we report a multifunctional mechanically-resilient self-healing hydrogel for effective UC treatment, which is synthesized through the host-guest interaction between dopamine/beta-cyclodextrin-modified hyaluronic acid (HA-CD-DA) and amantadine-modified carboxymethyl chitosan (CMCS-AD). The excessive beta-CD cavities allow the incorporation of dexamethasone (DEX), while the porous hydrogel network potentiates the encapsulation of basic fibroblast growth factor (bFGF) and L-alanyl-l-glutamine (ALG). DA moieties in HA components allow firm adhesion of the hydrogel to the ulcerative lesions after in-situ implantation, while the reversible host-guest interaction between CD and AD could enhance the persistence of hydrogel. The hydrogel demonstrated favorable biocompatibility and could continuously release DEX to induce M1-to-M2 repolarization of mucosal macrophages through inhibiting the toll-like receptor 4 (TLR4)-nuclear factor kappa-light-chain-enhancer of activated B cells (NF-kappaB) axis. Furthermore, the co-delivered bFGF and ALG facilitates the regeneration of ulcerative mucosa and restore its barrier functions to ameliorate UC symptoms. The mechanically resilient hydrogel offers an integrative approach for UC therapy in the clinics.",Biomaterials,2023 Aug,"Journal Article; Research Support, Non-U.S. Gov't",S0142-9612(23)00192-8,https://pubmed.ncbi.nlm.nih.gov/37276796/,
35390709,Injectable adhesive hemostatic gel with tumor acidity neutralizer and neutrophil extracellular traps lyase for enhancing adoptive NK cell therapy prevents post-resection recurrence of hepatocellular carcinoma.,"Post-resection recurrence remains an intractable problem in hepatocellular carcinoma (HCC) management. Natural killer (NK) cell infusion is considered as a promising cancer therapy, but acidic tumor microenvironment (TME) and neutrophil extracellular traps (NETs) greatly counteract its efficacy. Recently, polymer hydrogels have aroused much interest in tumor combination therapy, since they load and controllably release therapeutic agents with high bioavailability and low systemic toxicity. Therefore, a biocompatible hydrogel with tumor acidity neutralizer and NETs lyase may show promise for enhancing NK infusion to prevent post-resection HCC recurrence. Herein, a dual pH-responsive hydrogel with tumor acidity neutralizer (mesoporous bioactive glass nanoparticles) and NETs lyase (Deoxyribonuclease I, DNase I) is developed and used in combination with NK cell infusion for preventing post-resection HCC recurrence. The hydrogel can be injected to surgical margin and form an adhesive gel with a rapid hemostasis. Besides, it neutralizes tumor acidity to reduce tumor infiltration of immunosuppressive cells, and releases DNase I in a pH-responsive manner to degrade NETs. Moreover, this combination therapy significantly enhances NK cell infusion to combat post-surgical HCC recurrence without systemic toxicity. This study provides proof of concept that combination of NK cell adoptive therapy and hydrogel-based delivery system can successfully prevent post-resection HCC recurrence.",Biomaterials,2022 May,"Journal Article; Research Support, Non-U.S. Gov't",S0142-9612(22)00145-4,https://pubmed.ncbi.nlm.nih.gov/35390709/,
34871879,Integrating engineered macro vessels with self-assembled capillaries in 3D implantable tissue for promoting vascular integration in-vivo.,"A functional multi-scale vascular network can promote 3D engineered tissue growth and improve transplantation outcome. In this work, by using a combination of living cells, biological hydrogel, and biodegradable synthetic polymer we fabricated a biocompatible, multi-scale vascular network (MSVT) within thick, implantable engineered tissues. Using a templating technique, macro-vessels were patterned in a 3D biodegradable polymeric scaffold seeded with endothelial and support cells within a collagen gel. The lumen of the macro-vessel was lined with endothelial cells, which further sprouted and anastomosed with the surrounding self-assembled capillaries. Anastomoses between the two-scaled vascular systems displayed tightly bonded cell junctions, as indicated by vascular endothelial cadherin expression. Moreover, MSVT functionality and patency were demonstrated by dextran passage through the interconnected multi-scale vasculature. Additionally, physiological flow conditions were applied with home-designed flow bioreactors, to achieve a MSVT with a natural endothelium structure. Finally, implantation of a multi-scale-vascularized graft in a mouse model resulted in extensive host vessel penetration into the graft and a significant increase in blood perfusion via the engineered vessels compared to control micro-scale-vascularized graft. Designing and fabricating such multi-scale vascular architectures within 3D engineered tissues may benefit both in vitro models and therapeutic translation research.",Biomaterials,2022 Jan,"Journal Article; Research Support, Non-U.S. Gov't",S0142-9612(21)00643-8,https://pubmed.ncbi.nlm.nih.gov/34871879/,
34601198,Macrophage-derived implantable vaccine prevents postsurgical tumor recurrence.,"Immunotherapy emerges as a potential therapeutic strategy against tumor relapse. However, immunosuppressive tumor microenvironment poses an obstacle to immunotherapy. Of particular note is that macrophages are abundant in solid tumors and tumor-associated macrophages (TAMs) are mainly anti-inflammatory and protumoral. Therefore, re-educating TAMs will be critical for improving the antitumor efficacy of immunotherapy. Herein we engineered a macrophage-derived implantable vaccine for suppressing postsurgical tumor relapse. The vaccine comprised hybrid cytomembranes from macrophages/tumor cells and an immunoadjuvant, cytosinephosphate-guanosine oligodeoxynucleotides (CpG ODNs). The vaccine was further embedded into a calcium alginate hydrogel for tissue-localized delivery. Results show that the vaccine could induce the shift from anti-inflammatory M2-like TAMs to proinflammatory M1-like macrophage. Moreover, the vaccine stimulated systemic immunity by facilitating dendritic cells (DCs) maturation and memory T (T EM) cell activation, forming a self-replenishing circulation in tumor microenvironment. Consequently, the vaccine could prevent the postsurgical tumor relapse at both the primary and distant tumor sites. In addition, the lung metastasis was also reduced by the vaccine implantation in mice. The multifunctional vaccine prepared from biomacromolecule and nature-derived material provides a biocompatible and versatile tool for re-educating TAMs and preventing postsurgical tumor recurrence.",Biomaterials,2021 Nov,"Journal Article; Research Support, Non-U.S. Gov't",S0142-9612(21)00518-4,https://pubmed.ncbi.nlm.nih.gov/34601198/,
34482087,Fucoidan-functionalized polysaccharide submicroparticles loaded with alteplase for efficient targeted thrombolytic therapy.,"Intravenous administration of fibrinolytic drugs is the standard treatment of acute thrombotic diseases. However, current fibrinolytics exhibit limited clinical efficacy because of their short plasma half-lives and might trigger hemorrhagic transformations. Therefore, it is mandatory to develop innovative nanomedicine-based solutions for more efficient and safer thrombolysis with biocompatible and biodegradable thrombus-targeted nanocarrier. Herein, fucoidan-functionalized hydrogel polysaccharide submicroparticles with high biocompatibility are elaborated by the inverse miniemulsion/crosslinking method. They are loaded with the gold standard fibrinolytic - alteplase - to direct site-specific fibrinolysis due to nanomolar interactions between fucoidan and P-selectin overexpressed on activated platelets and endothelial cells in the thrombus area. The thrombus targeting properties of these particles are validated in a microfluidic assay containing recombinant P-selectin and activated platelets under arterial and venous blood shear rates as well as in vivo. The experiments on the murine model of acute thromboembolic ischemic stroke support this product's therapeutic efficacy, revealing a faster recanalization rate in the middle cerebral artery than with free alteplase, which reduces post-ischemic cerebral infarct lesions and blood-brain barrier permeability. Altogether, this proof-of-concept study demonstrates the potential of a biomaterial-based targeted nanomedicine for the precise treatment of acute thrombotic events, such as ischemic stroke.",Biomaterials,2021 Oct,"Journal Article; Research Support, Non-U.S. Gov't",S0142-9612(21)00458-0,https://pubmed.ncbi.nlm.nih.gov/34482087/,
34419838,Mechanically matching the rheological properties of brain tissue for drug-delivery in human glioblastoma models.,"Peptide functionalized hyaluronic acid (HA(CF)) cross-linked by cucurbit[8]uril (CB[8]), a new class of drug-delivery reservoirs, is used to enable improved drug bioavailability for glioblastoma tumors in patient-derived xenograft (PDX) models. The mechanical and viscoelastic properties of native human and mouse tissues are measured over 8 h via oscillatory rheology under physiological conditions. Treatment with drug-loaded hydrogels allowed for a significant survival impact of 45 % (55.5-80.5 days). A relationship between the type of PDX tumor formed-a consequence of the heterogeneic nature of GB tumors-and changes in the initial survival is observed owing to greater local pressure from stiffer tumors. These biocompatible and tailorable materials warrant use as drug delivery reservoirs in PDX resection models, where the mechanical properties can be readily adjusted to match the stiffness of local tissue and thus have potential to improve the survival of GB patients.",Biomaterials,2021 Sep,"Journal Article; Research Support, Non-U.S. Gov't",S0142-9612(21)00275-1,https://pubmed.ncbi.nlm.nih.gov/34419838/,
33882404,A tunable self-healing ionic hydrogel with microscopic homogeneous conductivity as a cardiac patch for myocardial infarction repair.,"Conductive hydrogel is a potential therapeutic tool to treat damaged heart muscles in myocardial infarction (MI). However, it is still a quite challenge to optimize the fabrication of a therapeutic hydrogel patch that sustains favorable biocompatibility, electronic and mechanical stability under a complicated MI microenvironment. Herein, a tunable self-healing ionic hydrogel (POG(1)) was developed through the introduction of a biocompatible polyacrylic acid (PAA, FDA-approved) into the hydrogel matrix. The fabricated POG(1) hydrogel possessed suitable stretchable (>500% strain) and compressive (>85% strain) properties, comparable modulus with mammalian heart (30-500 kPa, Young's modulus), self-healable, and highly stable conductivity during large deformations (~50% compress strain, ~150% tensile strain). Specifically, the established PAA nano-channels inside of POG(1) endowed the hydrogel with microscopic ultra-homogeneous conductivity. Compared to those seeded in the electronic conductors-embedded (PPy, CNT, rGO) hydrogels, the cardiomyocytes (CMs) seeded in the POG(1) hydrogel exhibited more significantly oriented sarcomeres. This POG(1) engineered cardiac patch (ECP) also exerted robust benefits in attenuating left ventricular remodeling and restoring heart function after implantation in vivo. This paper highlighted a previously unexplored strategy for a biocompatible ionic conductive hydrogel ECP with an excellent MI repair function.",Biomaterials,2021 Jun,"Journal Article; Research Support, Non-U.S. Gov't",S0142-9612(21)00167-8,https://pubmed.ncbi.nlm.nih.gov/33882404/,
33676234,3D printing of chemical-empowered tendon stem/progenitor cells for functional tissue repair.,"Tendon injuries are the leading cause of chronic debilitation to patients. Tendon stem/progenitor cells (TSPCs) are potential seed cells for tendon tissue engineering and regeneration, but TSPCs are prone to lose their distinct phenotype in vitro and specific differentiation into the tenocyte lineage is challenging. Utilizing small molecules in an ex vivo culture system may be a promising solution and can significantly improve the therapeutic applications of these cells. Here, by using an image-based, high-throughput screening platform on small molecule libraries, this study established an effective stepwise culture strategy for TSPCs application. The study formulated a cocktail of small molecules which effected proliferation, tenogenesis initiation and maturation phases, and significantly upregulated expression of various tendon-related genes and proteins in TSPCs, which were demonstrated by high-throughput PCR, ScxGFP reporter assay and immunocytochemistry. Furthermore, by combining small molecule-based culture system with 3D printing technology, we embedded living, chemical-empowered TSPCs within a biocompatible hydrogel to engineer tendon grafts, and verified their enhanced ability in promoting functional tendon repair and regeneration both in vivo and in situ. The stepwise culture system for TSPCs and construction of engineered tendon grafts can not only serve as a platform for further studies of underlying molecular mechanisms of tenogenic differentiation, but also provide a new strategy for tissue engineering and development of novel therapeutics for clinical applications.",Biomaterials,2021 Apr,"Journal Article; Research Support, Non-U.S. Gov't",S0142-9612(21)00073-9,https://pubmed.ncbi.nlm.nih.gov/33676234/,
