PMID,Title,Abstract,Journal,Date,Types,DOI,PubMed_Link,PMC_Link
39230440,Development and characterization of a novel poly(N-isopropylacrylamide)-based thermoresponsive photoink and its applications in DLP bioprinting.,"The field of 3-dimensional (3D) bioprinting has significantly expanded capabilities in producing precision-engineered hydrogel constructs, and recent years have seen the development of various stimuli-responsive bio- and photoinks. There is, however, a distinct lack of digital light processing (DLP)-compatible photoinks with thermoresponsivity. To remedy this, this work focuses on formulating and optimizing a versatile ink for DLP printing of thermoresponsive hydrogels, with numerous potential applications in tissue engineering, drug delivery, and adjacent biomedical fields. Photoink optimization was carried out using a multifactorial study design. The optimized photoink yielded crosslinked hydrogels with strong variations in hydrophobicity (contact angles of 44.4 degrees <LCST, 71.0 degrees  >LCST), indicating marked thermoresponsivity. Mechanical- and rheological characterization of the printed hydrogels showed significant changes above the LCST: storage- and loss moduli both increased and loss tangent and compressive modulus decreased above this temperature (P </= 0.01). The highly cytocompatible hydrogel microwell arrays yielded both single- and multilayer spheroids with human dermal fibroblasts (HDFs) and HeLa cells successfully. Evaluation of the release of encapsulated model macro- (bovine serum albumin, BSA) and small molecule (rhodamine B) drugs in a buffer solution showed an interestingly inverted thermoresponsive release profile with >80% release at room temperature and about 50-60% release above the gels' LCST. All told, the optimized ink holds great promise for multiple biomedical applications including precise and high-resolution fabrication of complex tissue structures, development of smart drug delivery systems and 3D cell culture.",Journal of materials chemistry. B,2024 Oct 2,Journal Article,10.1039/d4tb00682h,https://pubmed.ncbi.nlm.nih.gov/39230440/,
39083365,Double-crosslinkable poly(urethane)-based hydrogels relying on supramolecular interactions and light-initiated polymerization: promising tools for advanced applications in drug delivery.,"Physical and chemical hydrogels are promising platforms for tissue engineering/regenerative medicine (TERM). In particular, physical hydrogels are suitable for use in the design of drug delivery systems owing to their reversibility and responsiveness to applied stimuli and external environment. Alternatively, the use of chemical hydrogels represents a better strategy to produce stable 3D constructs in the TERM field. In this work, these two strategies were combined to develop multi-functional formulations integrating both drug delivery potential and TERM approaches in a single device. Specifically, a novel photo-sensitive poly(ether urethane) (PEU) was developed to form supramolecular networks with alpha-cyclodextrins (alpha-CDs). The PEU was successfully synthesized using Poloxamer(R) 407, 1,6-diisocyanatohexane and 2-hydroxyethyl methacrylate, as assessed by infrared spectroscopy, size exclusion chromatography and proton nuclear magnetic resonance ((1)H NMR) spectroscopy. Subsequently, PEU thermo-responsiveness was characterized through critical micelle temperature evaluation and dynamic light scattering analyses, which suggested the achievement of a good balance between molecular mass and overall hydrophobicity. Consequently, the formation of supramolecular domains with alpha-CDs was demonstrated through X-ray diffraction and (1)H NMR spectroscopy. Supramolecular hydrogels with remarkably fast gelation kinetics (i.e., few minutes) were designed using a low PEU concentration (</=5% w/v). All formulations were found to be cytocompatible according to the ISO 10993-5 regulation. Notably, the hydrogels were observed to possess mechanical properties and self-healing ability, according to rheological tests, and their fast photo-crosslinking was evidenced (<60 s) by photo-rheology. A high curcumin payload (570 mug mL(-1)) was encapsulated in the hydrogels, which was released with highly tunable and progressive kinetics in a physiological-simulated environment for up to 5 weeks. Finally, a preliminary evaluation of hydrogel extrudability was performed using an extrusion-based bioprinter, obtaining 3D-printed structures showing good morphological fidelity to the original design. Overall, the developed hydrogel platform showed promising properties for application in the emerging field of regenerative pharmacology as (i) easily injectable drug-loaded formulations suitable for post-application stabilization through light irradiation, and (ii) biomaterial inks for the fabrication of patient-specific drug-loaded patches.",Journal of materials chemistry. B,2024 Aug 28,Journal Article,10.1039/d4tb00092g,https://pubmed.ncbi.nlm.nih.gov/39083365/,
37234001,Spatiotemporal photo-release of hydrogen sulphide from beta-carboline-derived nanoparticles for therapeutic applications.,"Hydrogen sulfide (H(2)S) is an important gasotransmitter that plays a significant role in the regulation of various physiological activities. The therapeutic effect of H(2)S is highly concentration-dependent and has recently been recognized for wound healing applications. Until now, the reported H(2)S delivery systems for wound healing applications have been focused on polymer-coated cargo systems for the encapsulation of H(2)S donors that are based just on endogenous stimuli-responsive systems such as pH or glutathione. These delivery systems lack spatio-temporal control and can cause premature H(2)S release depending on the wound microenvironment. In this regard, polymer-coated light-activated gasotransmitter donors provide a promising and efficient means of delivering high spatial and temporal control along with localized delivery. Hence, for the first time, we developed a beta-carboline photocage-based H(2)S donor (BCS) and formulated it into two photo-controlled H(2)S delivery systems: (i) Pluronic-coated nanoparticles loaded with BCS (Plu@BCS nano); and (ii) a hydrogel platform impregnated with BCS (Plu@BCS hydrogel). We investigated the mechanism of photo-release and the photo-regulated H(2)S release profile from the BCS photocage. We found that the Plu@BCS nano and Plu@BCS hydrogel systems were stable and did not release H(2)S without light treatment. Interestingly, external light manipulation, such as changing the irradiation wavelength, time, and location, regulate the release of H(2)S precisely. Biological studies (in vitro) suggest that the Pluronic coating on the BCS photocage makes the donor highly biocompatible and desirable for biological applications.",Journal of materials chemistry. B,2023 Jun 14,"Journal Article; Research Support, Non-U.S. Gov't",10.1039/d3tb00588g,https://pubmed.ncbi.nlm.nih.gov/37234001/,
35416225,Responsive hydrogel-based microneedle dressing for diabetic wound healing.,"Wound healing is a critical challenge in diabetic patients, mainly due to long-term dysglycemia and its related pathological complications. Subcutaneous insulin injection represents a typical clinical solution, while the low controllability of insulin administration commonly leads to a result far from the optimal therapeutic effect. In this work, we developed a glucose-responsive insulin-releasing hydrogel for microneedle dressing fabrication and then investigated its effects on diabetic wound healing. The hydrogel system was composed of biocompatible gelatin methacrylate (GelMa), glucose-responsive monomer 4-(2-acrylamidoethylcarbamoyl)-3-fluorophenylboronic acid (AFPBA) and gluconic insulin (G-insulin), and the Gel-AFPBA-ins hydrogel-based microneedle dressing was developed by replicating PDMS molds. The resultant hydrogel microneedle dressing exhibited adequate mechanical properties, high biocompatibility, glucose-responsive insulin release behavior upon exposure to different glucose solutions, and potent adhesion to the skin compared to hydrogels without microstructures. The microneedle dressing could accelerate the diabetic wound healing process with decreased inflammatory reaction, enhanced collagen deposition on the regenerated tissue sites, and improved blood glucose control in animals. Therefore, the glucose-responsive insulin-releasing hydrogel microneedle dressing is effective in diabetic wound management and has potential for treatment of other chronic skin injuries.",Journal of materials chemistry. B,2022 May 11,"Journal Article; Research Support, Non-U.S. Gov't",10.1039/d2tb00126h,https://pubmed.ncbi.nlm.nih.gov/35416225/,
34757371,Synthesis and characterization of a novel pH-responsive drug-releasing nanocomposite hydrogel for skin cancer therapy and wound healing.,"Local skin cancer recurrence occurs in  approximately 12% of the patients post-surgery due to persistent growth of residual cancer cells. Wound infection is another significant complication following surgery. We report a novel in situ-forming nanocomposite hydrogel (NCH) containing PLGA-carboxymethyl chitosan nanoparticles (186 nm) for localized pH-responsive skin cancer therapy and wound healing. This injectable hydrogel, comprising of a citric acid-derived polymer backbone, gelled within 5 minutes, and demonstrated excellent swelling (283% of dry weight) and compressive strengths ( approximately 5.34 MPa). Nanoparticle incorporation did not significantly affect hydrogel properties. The NCH effluents were cytocompatible with human dermal fibroblasts at 500 mug ml(-1) concentration and demonstrated pH-dependent drug release and promising therapeutic efficacy against A431 and G361 skin cancer cells in vitro. Significant zones of inhibition were observed in S. aureus and E. coli cultures on NCH treatment, confirming its antibacterial properties. Our studies show that the pH-responsive NCH can be potentially used for adjuvant skin cancer treatment and wound healing.",Journal of materials chemistry. B,2021 Dec 1,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",10.1039/d1tb01934a,https://pubmed.ncbi.nlm.nih.gov/34757371/,
34286812,Fabrication of an injectable hydrogel with inherent photothermal effects from tannic acid for synergistic photothermal-chemotherapy.,"Developing injectable hydrogels with near-infrared (NIR)-responsive photothermal effects has increasingly become a promising strategy for local cancer treatment via combinational photothermal-chemotherapy. Herein, a biocompatible hydrogel with a remarkable shear-thinning and recovery capability for injection application was fabricated from 4-arm-PEG-SH and tannic acid through chemical crosslinking and multiple physical interactions. Benefiting from the formation of dynamic TA/Fe3+ complexes within gel networks, the obtained hydrogel exhibited an intrinsic NIR absorption property for photothermal ablation of tumor cells, and enhanced cellular uptake of chemotherapeutic drugs. Both in vitro and in vivo experiments revealed that the injectable hydrogel exhibited an excellent biocompatibility and a synergistic therapeutic effect on tumor growth via combinational photothermal-chemotherapy. Therefore, this work provides a promising attempt to develop an injectable and NIR-responsive hydrogel from TA/Fe3+ complexes, which could work as a localized drug delivery platform for synergistic photothermal-chemotherapy.",Journal of materials chemistry. B,2021 Aug 4,"Journal Article; Research Support, Non-U.S. Gov't",10.1039/d1tb01057c,https://pubmed.ncbi.nlm.nih.gov/34286812/,
32744280,Biocompatible polypeptide-based interpenetrating network (IPN) hydrogels with enhanced mechanical properties.,"Hydrogels are widely used for biomedical applications such as drug delivery, tissue engineering, or wound healing owing to their mimetic properties in relation to biological tissues. The generation of peptide-based hydrogels is a topic of interest due to their potential to increase biocompatibility. However, their usages can be limited when compared to other synthetic hydrogels because of their inferior mechanical properties. Herein, we present the synthesis of novel synthetic polypeptide-based interpenetrating network (IPN) hydrogels with enhanced mechanical properties. The polypeptide single network is obtained from alkyne functional polypeptides crosslinked with di, tri and tetra azide functional PEG by copper-catalysed alkyne-azide cycloaddition (CuAAC). Interpenetrating networks were subsequently obtained by loading of the polypeptide single network with PEG-dithiol and orthogonally UV-crosslinking with varying molar ratios of pentaerythritol tetraacrylate. The characteristics, including the mechanical strength (i.e. compressive strength (UCS), fracture strain (epsilon(break)), and Young's modulus (E)) and cell compatibility (i.e. metabolic activity and Live/Dead of human Mesenchymal Stem Cells), of each synthetic polypeptide-based IPN hydrogel were studied and evaluated in order to demonstrate their potential as mechanically robust hydrogels for use as artificial tissues. Moreover, (1)H NMR diffusometry was carried out to examine the water mobility (D(H(2)O)) within the polypeptide-based hydrogels and IPNs. It was found that both the mechanical and morphological properties could be tailored concurrently with the hydrophilicity, rate of water diffusion and 'swellability'. Finally it was shown that the polypeptide-based IPN hydrogels exhibited good biocompatibility, highlighting their potential as soft tissue scaffolds.",Journal of materials chemistry. B,2020 Sep 14,"Journal Article; Research Support, Non-U.S. Gov't",10.1039/d0tb01422b,https://pubmed.ncbi.nlm.nih.gov/32744280/,
32400836,Coaxial mussel-inspired biofibers: making of a robust and efficacious depot for cancer drug delivery.,"Biopolymer-based hydrogels have emerged as promising platforms for drug delivery systems (DDSs) due to their inherent biocompatibility, tunable physical properties and controllable degradability. Yet, drug release in majority of these systems is solely contingent on diffusion of drug molecules through the hydrogel, which often leads to burst release of drugs from these systems. Herein, inspired by the chemistry of mussel adhesive proteins, a new generation of coaxial hydrogel fibers was developed that could simultaneously exert both affinity and diffusion control over the release of chemotherapeutic drugs. Specifically, dopamine-modified alginate hydrogel along with chemotherapeutic drugs (doxorubicin or gemcitabine) was used as the main core component to confer affinity-controlled release, while a methacrylated-alginate hydrogel was used as the shell composition to provide the controlled diffusion barrier. It was shown that our coaxial mussel-inspired biofibers yielded biocompatible hydrogel fibers (as indicated by comprehensive in vitro and in vivo experiments) with favourable properties including controlled swelling, and enhanced mechanical properties, when compared against single fibers made from unmodified alginate. Notably, it was observed that these coaxial fibers were capable of releasing the two drugs in a slower manner, when compared to single fibers made from pure alginate, which was partly attributed to stronger interactions of drugs with dopamine-modified alginate (the core element of coaxial fibers) as observed from zeta-potential measurements. It was further shown that these drug-loaded coaxial fibers had optimal anticancer activity both in vitro and in vivo using various pancreatic cancer cell lines. Most remarkably, drug loaded coaxial fibers, particularly doxorubicin-containing fibers, had higher anticancer effect in vivo compared to systemic injection of equivalent dosage of the drugs. Altogether, these biocompatible and robust hydrogel fibers may be further used as neoadjuvant or adjuvant therapies for controlled delivery of chemotherapeutic drugs locally to the tumor sites.",Journal of materials chemistry. B,2020 Jun 21,"Journal Article; Research Support, Non-U.S. Gov't",10.1039/d0tb00052c,https://pubmed.ncbi.nlm.nih.gov/32400836/,
31950969,Beyond Fmoc: a review of aromatic peptide capping groups.,"Self-assembling short peptides have attracted widespread interest due to their tuneable, biocompatible nature and have potential applications in energy materials, tissue engineering, sensing and drug delivery. The hierarchical self-assembly of these peptides is highly dependent on the selection of not only amino acid sequence, but also the capping group which is often employed at the N-terminus of the peptide to drive self-assembly. Although the Fmoc (9H-fluorenylmethyloxycarbonyl) group is commonly used due to its utility in solid phase peptide synthesis, many other aromatic capping groups have been reported which yield functional, responsive materials. This review explores recent developments in the utilisation of functional, aromatic capping groups beyond the Fmoc group for the creation of redox-responsive, fluorescent and drug delivering hydrogel scaffolds.",Journal of materials chemistry. B,2020 Feb 7,Journal Article; Review,10.1039/c9tb02539a,https://pubmed.ncbi.nlm.nih.gov/31950969/,
32254689,Poly(ester amide)-based hybrid hydrogels for efficient transdermal insulin delivery.,"Transdermal drug delivery is an attractive, non-invasive treatment. It can avoid first-pass hepatic metabolism and provides the possibility of self-administration. Hydrogels are promising biomaterials due to their important qualities such as biocompatibility and biodegradability. Recently, there has been tremendous growth in the area of hydrogels for transdermal drug delivery. In this work, a new kind of arginine-based poly(ester amide) (Arg-PEA) and polyethylene glycol diacrylamide (PEG-DA) hybrid hydrogel was developed for transdermal drug delivery. The hydrogels not only possess excellent swelling capacity, but also have good mechanical properties, which were then evaluated as drug delivery agents using insulin as a model system. Cytotoxicity testing and in vivo skin irritation tests demonstrated that the hydrogels were biocompatible. Finally, the results indicated that the prepared hydrogels could not only perform transdermal drug delivery, but also might regulate blood glucose levels in a mouse model with streptozotocin-induced diabetes.",Journal of materials chemistry. B,2018 Nov 14,Journal Article,10.1039/c8tb01466c,https://pubmed.ncbi.nlm.nih.gov/32254689/,
