id,section,number,question,correct_answer,ds_withRAG,ds_withoutRAG,llama_withRAG,llama_withoutRAG,
e303d77f-5299-483e-a78e-a0de4aedda2f,Properties of Biomaterials,1,Which of the following is a characterization technique used to measure Young’s modulus of a biomaterial?,d,d,a,d,d,
63d0b155-c58d-449b-a14b-636164922333,Properties of Biomaterials,2,Which of the following is a characterization technique used to measure the Ductility of a biomaterial?,a,d,a,d,b,
87b070c2-3f30-42f7-92e1-e77498208333,Properties of Biomaterials,3,Constant stress test helps in measurement of ____________ for a biomaterial.,a,c,c,c,b,
5727ae91-c858-4d5e-83f7-40f417eefe1b,Properties of Biomaterials,4,Elastic modulus helps in determining the strength of a biomaterial and it is measured using indentation.,b,a,a,a,a,
37fbcb76-2ec8-470d-bb76-664db43bb365,Properties of Biomaterials,5,"Which of the following physiochemical properties of a biomaterial might cause a cellular response that might affect the cellular motility, adhesion, survival, and differentiation?",a,d,d,c,c,
6a1d822f-9c8b-4d0f-a6c9-c14c5041982c,Properties of Biomaterials,6,Topography and roughness of a biomaterial affect the maximum possible accommodation of cells in the scaffold.,b,a,a,a,a,
0bab4adf-cf6c-4594-948c-58d6ef626699,Properties of Biomaterials,7,The pore size of the biomaterial affects the long-term functional differentiation of cells.,b,a,a,a,a,
757d81f8-e8c4-40cc-8236-87e32d9ca7d7,Properties of Biomaterials,8,Which of the following gel/hydrogel is formed by a physical gelation mechanism?,b,b,b,b,b,
2ca7ce22-a1a0-4359-9c1b-5287af07af5b,Properties of Biomaterials,9,______________is prepared by condensation which is a chemical gelation mechanism.,a,a,a,a,a,
42416da6-4f9b-44a8-ad96-219f3397318c,Properties of Biomaterials,10,Which of the following is not a chemical gelation mechanism?,d,d,d,c,c,
cb778a8c-960c-4434-b4d6-68fe0e8cda06,Natural Biomaterials,11,_________________ helps in maintaining the structural integrity of most of the connective tissues in animals.,a,a,a,a,a,
cf9e3c29-a1c2-4031-9b25-c30e59555cec,Natural Biomaterials,12,Which of the following have a structure with three peptide chains bound with each other to form a rope-like structure?,a,a,a,a,a,
74e24a9c-64f1-4c22-8220-e2122d681f1f,Natural Biomaterials,13,Type I collagen is the dominant component in the native __________ scaffold.,a,a,a,a,a,
3857b1d5-c0fb-4e00-bae4-63dfa4a4175d,Natural Biomaterials,14,Collagen can be found naturally in cartilage tissue.,a,a,a,a,a,
759ae420-bc43-44d7-80be-ff46c00630ad,Natural Biomaterials,15,Hyaluronic acid plays an important role in ____________,a,a,a,a,a,
63707892-0582-4f66-97f7-870bcaea03f7,Natural Biomaterials,16,Hyaluronic acid can be degraded by chitinase.,b,b,b,a,a,
a6750015-90b8-4486-a149-94a6bfc87774,Natural Biomaterials,17,PVC is usually added to hyaluronic acid in order to control its mechanical properties.,b,b,b,a,a,
6497d2ec-f3e0-428c-9601-06408722bc71,Natural Biomaterials,18,____________ is one of the most common methods of modifying hyaluronic acid.,a,a,b,c,a,
0d862433-b837-459a-916e-0262d2ecba85,Natural Biomaterials,19,Alginic acid is obtained from ___________,a,a,a,a,a,
457564ee-9f26-4a33-8f05-494599adc017,Natural Biomaterials,20,_______ and ________ are monomers of Alginate.,c,c,c,c,c,
31b6667c-ad20-4f9d-8cc8-1a6f01c889c7,Natural Biomaterials,21,Alginate is suitable for __________________,a,b,b,a,a,
385bfcac-966a-4d83-99e0-e5ecb34de43a,Natural Biomaterials,22,Covalent cross-linking of alginate gels with different molecules is a useful approach to control the __________ and mechanical properties of gels.,a,b,b,c,b,
4ac94aa1-b47d-4782-bf6b-bf63ce8bdb19,Natural Biomaterials,23,Addition of _________ to alginate improves the cellular binding and interactions.,a,c,c,c,c,
d7e6f139-7654-4713-bfe0-a78623ed1351,Natural Biomaterials,24,Mechanical properties of alginate reduce in the presence of K+ ions.,a,b,b,a,a,
9ddffdd5-413b-412f-a2ed-a705563995d1,Natural Biomaterials,25,___________ can be obtained by the deacetylation of chitin.,a,a,a,a,a,
8ae4aa7e-e2cb-4dab-98bd-bccb644b6357,Natural Biomaterials,26,Chitosan can be dissolved only in dilute acids because of its high porosity.,b,b,b,a,a,
2c8bf0bf-3efb-4a24-80f4-a9cf2c53201e,Natural Biomaterials,27,Chitosan has a similar structure to Glycos-Amino-Glycans (GAGs) in cartilage.,a,a,a,a,a,
d6226d0b-f7d1-4c08-b510-585eb4518ef1,Natural Biomaterials,28,____________ is a natural polymer derived from collagen.,a,a,a,a,a,
31fdc385-b40d-4f1b-b386-21efdb49fed7,Natural Biomaterials,29,____________ consists of a network of fibrous proteins.,a,b,b,b,b,
c6922c67-f010-4007-887b-acbf84582e1e,Natural Biomaterials,30,Fibrin is formed by the enzymatic polymerization of fibrinogen using ____________,a,a,a,a,a,
447b10ae-d632-47af-a4fe-ac5db79db430,Natural Biomaterials,31,The major drawback of using fibrin is its shrinkage.,a,b,a,a,a,
a783a461-dd86-4f1a-b4c6-8def490d33b4,Natural Biomaterials,32,Silk is a natural biomaterial produced by ____________,a,a,a,a,a,
c9f21865-f72f-4892-b8d0-842bc709a6e8,Natural Biomaterials,33,_____________ was synthesized by the reaction of silk with lactose using cyanuric chloride as the coupling spacer.,a,a,a,a,a,
81da46ed-8a46-4548-a84f-c2ee31a7f50d,Natural Biomaterials,34,Peptides are composed of amino acids.,a,a,a,a,a,
9496cb09-c148-4ebf-8768-260fa3fdbaca,Natural Biomaterials,35,___________ Elastin is one of the components in natural ECM.,c,c,c,c,c,
4772d547-18e6-48af-8c7e-655dc6c549c1,Natural Biomaterials,36,The half-life of elastin is 24 hours.,b,b,b,a,a,
77c0f78c-be40-4349-988c-5ffcb72c1943,Biomaterial -Tissue Interactions,37,What is the first step in Biomaterial-tissue interactions?,d,b,b,b,b,
00ad76cd-b20b-49dc-9510-31c52fde9190,Biomaterial -Tissue Interactions,38,The biomaterials are expected to mimic the functions of ____________,a,a,a,a,a,
c8373ffa-1ab0-4a5b-9dd0-b0229b0ad9e6,Biomaterial -Tissue Interactions,39,_____________ is the first process involved in Biomaterial-Tissue interaction.,a,c,c,a,a,
037d3483-a027-4566-a4b2-2a8eb1c734cd,Biomaterial -Tissue Interactions,40,There is the formation of the fibrous capsule when the Biomaterial-Tissue implant is implanted in the body.,a,a,a,a,a,
159eb6b4-f78f-4b76-a1af-c961aad2969a,Biomaterial -Tissue Interactions,41,____________ is one of the most important aspects of biomaterial-tissue interactions.,a,a,a,a,a,
7d885eba-6aa9-4bf1-9cf9-cbecd6dfb8c3,Biomaterial -Tissue Interactions,42,There are three major types of biomaterial-tissue interactions.,b,b,b,a,a,
2c130e77-e639-4442-9d65-16c6b0a44610,Biomaterial -Tissue Interactions,43,Scaffolds acquire stability and strength from the cells.,b,b,b,a,a,
43b6dae3-f7a5-4d3f-a96e-140e47e153c6,Synthetic Polymers for Biomaterial Processing,44,____________ polymers are those which are human-made polymers.,d,d,d,d,d,
8b5ebf5c-a83c-4cac-bbfc-f5f497b9f52b,Synthetic Polymers for Biomaterial Processing,45,Synthetic polymers are sometimes referred as __________,a,a,a,a,a,
c81c0bc4-b75f-452f-8a95-936a1c81f17b,Synthetic Polymers for Biomaterial Processing,46,Non-biodegradable- Synthetic polymers are made from _____________,a,a,a,a,a,
4f1b9270-3142-4250-b648-71febc0f7922,Synthetic Polymers for Biomaterial Processing,47,Synthetic materials owing to the bioactive properties have better interactions with the cells which allow them to enhance the cells’ performance in a biological system.,b,b,b,a,a,
e7c3395f-70a3-4c06-96e4-b79756e3f177,Synthetic Polymers for Biomaterial Processing,48,Which of the following is an example of Synthetic polymer?,a,a,a,a,a,
